CONTRATO;Fecha_FI
CTO_TO_054214;2q/2017
CTO_TO_046805;1q/2018
CTO_TO_044042;1q/2018
CTO_TO_021928;2q/2018
CTO_TO_044822;3q/2018
CTO_TO_044068;3q/2019
CTO_TO_046852;3q/2019
CTO_TO_046872;3q/2019
CTO_TO_046715;1q/2012
CTO_TO_046693;1q/2015
CTO_TO_050714;1q/2015
CTO_TO_044484;3q/2015
CTO_TO_044469;3q/2015
CTO_TO_035002;1q/2016
CTO_TO_050865;2q/2016
CTO_TO_050652;3q/2016
CTO_TO_050845;2q/2017
CTO_TO_048370;2q/2017
CTO_TO_004122;2q/2018
CTO_TO_050784;2q/2018
CTO_TO_043641;3q/2018
CTO_TO_009106;3q/2018
CTO_TO_050695;3q/2018
CTO_TO_044498;1q/2019
CTO_TO_027180;1q/2011
CTO_TO_027399;2q/2011
CTO_TO_027312;3q/2011
CTO_TO_021428;1q/2012
CTO_TO_027306;2q/2012
CTO_TO_027321;2q/2012
CTO_TO_027321;3q/2012
CTO_TO_027358;3q/2012
CTO_TO_027322;2q/2013
CTO_TO_027309;4q/2013
CTO_TO_027395;4q/2013
CTO_TO_047256;4q/2014
CTO_TO_027309;4q/2014
CTO_TO_027312;4q/2014
CTO_TO_021434;2q/2015
CTO_TO_004164;3q/2015
CTO_TO_027591;3q/2015
CTO_TO_013272;4q/2015
CTO_TO_021440;4q/2015
CTO_TO_045683;4q/2015
CTO_TO_047238;1q/2016
CTO_TO_021434;1q/2016
CTO_TO_047300;3q/2016
CTO_TO_057370;3q/2016
CTO_TO_047331;3q/2016
CTO_TO_027465;3q/2016
CTO_TO_044526;1q/2017
CTO_TO_027295;1q/2017
CTO_TO_027283;1q/2017
CTO_TO_021441;2q/2017
CTO_TO_027460;2q/2017
CTO_TO_047431;3q/2017
CTO_TO_021432;3q/2017
CTO_TO_027328;3q/2017
CTO_TO_012742;3q/2017
CTO_TO_027519;2q/2018
CTO_TO_016610;3q/2018
CTO_TO_047474;3q/2018
CTO_TO_047274;1q/2019
CTO_TO_027291;2q/2019
CTO_TO_047431;3q/2019
CTO_TO_045684;3q/2019
CTO_TO_050822;3q/2019
CTO_TO_027362;3q/2019
CTO_TO_027318;3q/2019
CTO_TO_047411;4q/2019
CTO_TO_021442;4q/2019
CTO_TO_034947;1q/2011
CTO_TO_034937;4q/2011
CTO_TO_027366;1q/2012
CTO_TO_039373;1q/2012
CTO_TO_035613;1q/2012
CTO_TO_023653;4q/2012
CTO_TO_027647;4q/2012
CTO_TO_019820;4q/2013
CTO_TO_003595;4q/2013
CTO_TO_027533;4q/2013
CTO_TO_034929;4q/2013
CTO_TO_053635;2q/2014
CTO_TO_003594;3q/2014
CTO_TO_028304;4q/2014
CTO_TO_058800;1q/2015
CTO_TO_027366;1q/2015
CTO_TO_039373;1q/2015
CTO_TO_035609;1q/2015
CTO_TO_020737;1q/2015
CTO_TO_019818;3q/2015
CTO_TO_027675;3q/2015
CTO_TO_009091;4q/2015
CTO_TO_009780;1q/2016
CTO_TO_023655;1q/2016
CTO_TO_034948;1q/2016
CTO_TO_008380;1q/2016
CTO_TO_052255;2q/2016
CTO_TO_034948;2q/2016
CTO_TO_035585;3q/2016
CTO_TO_027710;3q/2016
CTO_TO_019814;3q/2016
CTO_TO_027344;3q/2016
CTO_TO_035491;3q/2016
CTO_TO_023663;4q/2016
CTO_TO_035597;4q/2016
CTO_TO_039375;4q/2016
CTO_TO_034948;4q/2016
CTO_TO_027534;1q/2017
CTO_TO_039373;1q/2017
CTO_TO_026228;1q/2017
