number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
156,0.005139723792672158,30,0,210,90,10,0.0003026935319663541,1,1,1,24,0.7999999999999999,0.044574519948517716,COMPLETE
157,0.0002375463101391991,30,0,180,90,10,0.00021944660942355674,1,1,2,24,0.7999999999999999,0.037682668715579536,COMPLETE
158,0.003269796259701252,30,0,180,90,10,0.00019949030132686437,1,0. 3,2,16,0.7999999999999999,0.03750008210639705,COMPLETE
159,0.00015278939390555023,30,0,180,90,10,0.00022663609819539092,1,1,2,24,0.7999999999999999,0.03532974032739218,COMPLETE
160,0.0009265021304599941,40,0,180,90,10,0.00023070934816281594,1,1,3,24,0.7999999999999999,0.036054922691954684,COMPLETE
161,0.00044749164565776787,30,0,180,90,10,0.00020635512257883085,1,1,2,24,0.7999999999999999,0.03420997460787898,COMPLETE
162,0.0014720765873789787,30,0,180,90,10,0.00018062108639838663,1,1,2,24,0.7999999999999999,0.042267108004142726,COMPLETE
163,0.0010139130676786105,30,0,180,90,10,0.0002516204665587303,1,1,2,24,0.7999999999999999,0.03263633160369982,COMPLETE
164,0.002918415640791257,30,0,180,90,10,0.0002119436621944109,1,1,2,24,0.7999999999999999,0.03881198489457436,COMPLETE
165,0.00041649370299031335,30,0,180,90,10,0.0002935281496315557,1,1,2,24,0.7999999999999999,0.03444894154092844,COMPLETE
166,0.00479186245550712,30,0,180,90,10,0.00015197398593562624,1,1,2,24,0.7999999999999999,0.029613161830908234,COMPLETE
167,0.0021330852061510084,40,0,180,90,10,0.00027862823782063255,1,1,2,24,0.7999999999999999,0.043021948129648685,COMPLETE
168,0.0004726672622685631,30,0,150,90,10,0.00022040770355528168,1,1,2,16,0.7999999999999999,0.03682169580724823,COMPLETE
169,0.000882306097385784,30,0,180,90,10,0.00024275195297201346,1,1,2,20,0.7999999999999999,0.031599736050415175,COMPLETE
170,0.0048494783812202515,40,0,150,90,6,0.000174488579202952,1,1,2,24,0.7999999999999999,0.0404269390656477,COMPLETE
171,0.0004747628156716625,30,0,210,90,10,0.0007185242969443417,1,1,2,24,0.7999999999999999,0.03814378755377683,COMPLETE
172,0.0013094679452478886,30,0,210,90,10,0.0005638151572031001,1,1,2,24,0.7999999999999999,0.03597241325130189,COMPLETE
173,0.0014377864388128122,30,0,210,120,10,0.00019076484234470693,1,1,2,24,0.7999999999999999,0.03338116874734762,COMPLETE
174,0.0028372525547941526,30,0,210,90,10,0.0002638331076801714,1,1,2,24,0.7999999999999999,0.015961578102383796,COMPLETE
175,0.01883049214957282,10,0,180,90,12,0.0006385616756256335,1,1,2,24,0.7999999999999999,0.048402210543528355,COMPLETE
176,0.00031667553121224047,30,0,120,60,10,0.0002323915222792411,1,1,2,24,0.7999999999999999,0.039330296528486124,COMPLETE
177,0.0019210831572612126,30,0.1,210,90,10,0.0005181961589566073,1,1,2,24,0.7999999999999999,0.011625939724488448,COMPLETE
178,0.00022350321989506484,50,0,210,90,10,0.0003321510119500536,1,1,0,24,0.7999999999999999,0.0185741382988211,COMPLETE
179,0.0019066901877522469,50,0,210,90,10,0.0003502114829893732,1,1,0,24,0.7999999999999999,0.013006682318446207,COMPLETE
180,0.0011587223783135414,50,0,180,90,10,0.0003311135622872077,1,1,1,16,0.7999999999999999,0.0352345962481145,COMPLETE
181,0.0016193678230047226,50,0,210,90,10,3.36363650935858e-05,1,1,0,24,0.7999999999999999,0.018294061330353127,COMPLETE
182,0.0001789244939573109,50,0,210,90,10,0.0003020432381140989,1,1,2,24,0.7999999999999999,0.020401797698730136,COMPLETE
183,0.0021153879910707474,50,0,210,90,10,0.0003124938848491742,1,1,2,24,0.7999999999999999,0.020591861416279052,COMPLETE
184,0.00020364632597193123,50,0,210,90,10,0.0002784056916485694,1,1,0,24,0.7999999999999999,0.01815871017586649,COMPLETE
185,0.00028039254248142244,50,0,210,90,10,0.0002853345852084679,1,1,0,24,0.7999999999999999,0.01777627303070186,COMPLETE
186,0.00013666358310729265,50,0,210,90,10,0.00025797500947049884,1,1,0,24,0.7999999999999999,0.019580581323369935,COMPLETE
187,0.00027448851149529217,50,0,210,90,10,0.0002583641330512867,1,1,0,24,0.7999999999999999,0.019828201234090015,COMPLETE
188,0.0002795867901295424,50,0,210,90,10,0.00029828921172277525,1,0. 3,0,24,0.7999999999999999,0.018580433258714387,COMPLETE
189,0.00010594683466479182,50,0,210,90,10,0.00027359274345234886,1,1,0,24,0.7999999999999999,0.016486643719805596,COMPLETE
190,0.005182234793901444,50,0,210,90,10,0.0002737271723738779,1,1,0,24,0.7999999999999999,0.016446084014640594,COMPLETE
191,2.2837232681922614e-05,50,0,210,90,10,0.0002390813501779661,1,1,0,24,0.7999999999999999,0.01531886980979531,COMPLETE
192,0.0008867939189076423,50,0,210,90,10,0.00022482415199389898,1,1,0,24,0.7999999999999999,0.014404209904399501,COMPLETE
193,0.0030495834350585936,50,0,210,90,10,0.00024739317011671606,1,1,0,24,0.7999999999999999,0.01490264053544069,COMPLETE
194,0.00041991924867033957,50,0,210,90,10,0.0003358721482038189,1,1,0,24,0.7999999999999999,0.016021223140884645,COMPLETE
195,0.0010511109977960587,50,0,210,90,10,0.0002707614608387935,1,1,0,24,0.7999999999999999,0.01916156765722676,COMPLETE
196,0.00033246994949877263,50,0,210,90,10,0.00030405173674599397,1,1,0,24,0.7999999999999999,0.015391462494251096,COMPLETE
197,0.0011140193417668342,50,0,210,90,10,0.0002366628680263268,1,1,0,24,0.7999999999999999,0.01716754569913106,COMPLETE
198,0.00401693195104599,50,0,210,90,10,0.00021196997791840386,1,1,0,24,0.7999999999999999,0.01783367655773276,COMPLETE
199,0.0022278722375631333,50,0,210,90,10,0.00035437160090404053,1,1,0,24,0.7999999999999999,0.013933932934929862,COMPLETE
