timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
72588058050,11494,5,0,0.0100000000,0.0088888889,0.0144444444,-6.1250000000,30.1250000000,24.6250000000,-2.1900000000,-4.0200000000,-8.2800000000
72588066826,11495,5,0,0.0033333333,0.0000000000,0.0122222222,-6.1250000000,30.1250000000,24.6250000000,-2.1400000000,-3.8700000000,-8.3400000000
72588091945,11496,5,0,-0.0022222222,-0.0033333333,0.0000000000,-6.1250000000,30.1250000000,24.6250000000,-2.1900000000,-3.8900000000,-8.1700000000
72588126839,11497,5,0,-0.0077777778,0.0077777778,-0.0155555556,-5.3125000000,29.8125000000,25.0000000000,-2.1100000000,-3.9300000000,-8.2000000000
72588148065,11498,5,0,-0.0022222222,0.0055555556,-0.0233333333,-5.3125000000,29.8125000000,25.0000000000,-2.1300000000,-3.9700000000,-8.2700000000
72588178150,11499,5,0,0.0033333333,0.0022222222,-0.0200000000,-5.3125000000,29.8125000000,25.0000000000,-2.2500000000,-3.9300000000,-8.2200000000
72588211855,11500,5,0,0.0100000000,0.0088888889,-0.0355555556,-6.1250000000,29.4375000000,24.2500000000,-2.1700000000,-4.0500000000,-8.1800000000
72588243028,11501,5,0,0.0133333333,0.0144444444,-0.0122222222,-6.1250000000,29.4375000000,24.2500000000,-2.2100000000,-3.8800000000,-8.3100000000
72588272996,11502,5,0,0.0133333333,0.0000000000,-0.0100000000,-6.1250000000,29.4375000000,24.2500000000,-2.2700000000,-3.9500000000,-8.2600000000
72588309275,11503,5,0,0.0055555556,-0.0088888889,-0.0066666667,-5.6875000000,30.8750000000,24.2500000000,-2.2000000000,-3.9200000000,-8.2200000000
72588340195,11504,5,0,0.0011111111,-0.0077777778,-0.0100000000,-5.6875000000,30.8750000000,24.2500000000,-2.1600000000,-3.9000000000,-8.2100000000
72588365172,11505,5,0,-0.0011111111,0.0011111111,-0.0100000000,-5.6875000000,30.8750000000,24.2500000000,-2.1900000000,-3.8800000000,-8.2100000000
72588441401,11506,5,0,0.0033333333,0.0077777778,-0.0122222222,-6.5000000000,29.8125000000,22.7500000000,-2.2400000000,-3.8700000000,-8.2300000000
