timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
73205799184,21890,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205829196,21891,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205862938,21892,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205927818,21893,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205934100,21894,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205954180,21895,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205989072,21896,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206019002,21897,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206050413,21898,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206080929,21899,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206112981,21900,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206146579,21901,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206177872,21902,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206206564,21903,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206241833,21904,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206292808,21905,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206325484,21906,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206357733,21907,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206361509,21908,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206392831,21909,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206424033,21910,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206455359,21911,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206484687,21912,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73206519276,21913,1,2,2,2,2,1,2,2,2,1,1,2,3,3,1,1
73206551744,21914,1,2,2,2,2,1,2,2,2,1,1,2,3,3,1,1
73206580444,21915,1,2,2,2,2,1,2,2,2,1,1,2,3,3,1,1
